ProductID,ProductName,Category,SubCategory,ListPrice_USD,COGS_USD,GrossMarginPct,Supplier,IsActive
1,Essential Bags Set 1,Accessories,Bags,85.19,37.38,56.12,"Rodriguez, Figueroa and Sanchez",True
2,Classic Bedding Edition 2,Home & Living,Bedding,59.7,36.56,38.76,Doyle Ltd,True
3,Modern Watches Pack 3,Accessories,Watches,33.09,11.17,66.25,"Mcclain, Miller and Henderson",True
4,Natural Bags Collection 4,Accessories,Bags,86.85,39.96,53.99,Davis and Sons,True
5,Urban Jackets Kit 5,Apparel,Jackets,25.87,11.57,55.26,"Guzman, Hoffman and Baldwin",True
6,Natural T-Shirts Series 6,Apparel,T-Shirts,74.19,30.06,59.48,"Gardner, Robinson and Lawrence",True
7,Premium Decor Set 7,Home & Living,Decor,58.72,26.48,54.91,Blake and Sons,True
8,Natural T-Shirts Collection 8,Apparel,T-Shirts,83.86,26.5,68.4,"Henderson, Ramirez and Lewis",True
9,Signature Kitchen Set 9,Home & Living,Kitchen,43.39,24.72,43.03,Garcia-James,False
10,Pro Watches Edition 10,Accessories,Watches,74.96,27.47,63.35,Abbott-Munoz,True
11,Premium Activewear Edition 11,Apparel,Activewear,34.91,16.14,53.76,Blair PLC,True
12,Heritage Storage Set 12,Home & Living,Storage,35.81,20.39,43.06,Dudley Group,True
13,Essential Scarves Collection 13,Accessories,Scarves,98.93,33.57,66.07,Arnold Ltd,True
14,Heritage Decor Pack 14,Home & Living,Decor,71.28,36.87,48.28,"Mcclure, Ward and Lee",True
15,Premium Haircare Kit 15,Beauty & Wellness,Haircare,39.0,16.66,57.27,Williams and Sons,True
16,Heritage Scarves Pack 16,Accessories,Scarves,71.26,28.77,59.62,Galloway-Wyatt,True
17,Modern Skincare Kit 17,Beauty & Wellness,Skincare,48.06,20.25,57.86,James Group,True
18,Premium Bags Set 18,Accessories,Bags,42.18,19.42,53.95,"Flowers, Martin and Kelly",True
19,Classic Activewear Kit 19,Apparel,Activewear,76.67,31.66,58.71,"Adams, Zuniga and Wong",True
20,Modern Kitchen Kit 20,Home & Living,Kitchen,27.31,11.93,56.3,"Reid, Ferguson and Sanchez",False
21,Urban Supplements Kit 21,Beauty & Wellness,Supplements,37.9,15.99,57.8,Gray-Mayo,True
22,Classic Hoodies Set 22,Apparel,Hoodies,85.61,25.2,70.57,"Watts, Robinson and Nguyen",True
23,Active Activewear Bundle 23,Apparel,Activewear,76.97,39.66,48.47,Perez Inc,True
24,Modern Watches Kit 24,Accessories,Watches,54.62,24.42,55.29,Morales-Jones,True
25,Urban Jackets Pack 25,Apparel,Jackets,48.72,17.96,63.14,"Walter, Edwards and Rios",False
26,Heritage Boots Bundle 26,Footwear,Boots,56.35,29.05,48.45,Wilkerson-Day,True
27,Classic T-Shirts Series 27,Apparel,T-Shirts,72.5,38.72,46.59,Baker and Sons,True
28,Modern Hoodies Edition 28,Apparel,Hoodies,39.44,16.52,58.11,"Hoffman, Baker and Richards",True
29,Natural Fitness Edition 29,Beauty & Wellness,Fitness,24.88,8.26,66.82,"Ross, Robinson and Bright",True
30,Premium Belts Set 30,Accessories,Belts,54.66,20.95,61.68,"Snyder, Campos and Callahan",True
31,Classic Bags Edition 31,Accessories,Bags,52.65,21.86,58.48,Burton Ltd,True
32,Pro Hats Kit 32,Accessories,Hats,54.5,23.46,56.96,Carlson-Cruz,False
33,Premium Sneakers Series 33,Footwear,Sneakers,39.81,13.94,64.98,"Ferrell, Rice and Maddox",False
34,Natural Kitchen Series 34,Home & Living,Kitchen,46.07,23.24,49.55,Frazier Inc,True
35,Active Pants Collection 35,Apparel,Pants,38.42,13.0,66.17,"Dyer, Potter and Mack",True
36,Premium Fitness Bundle 36,Beauty & Wellness,Fitness,20.2,7.59,62.42,Rodriguez-Graham,True
37,Modern Jackets Kit 37,Apparel,Jackets,22.4,8.79,60.77,Smith-Bowen,True
38,Heritage Activewear Series 38,Apparel,Activewear,24.17,12.08,50.02,"Baker, Mason and White",True
39,Heritage T-Shirts Bundle 39,Apparel,T-Shirts,90.5,35.86,60.38,Harrell LLC,True
40,Signature Activewear Edition 40,Apparel,Activewear,61.52,28.58,53.54,"Romero, Gonzalez and Brooks",True
41,Signature Sandals Pack 41,Footwear,Sandals,72.6,31.37,56.79,Ryan PLC,True
42,Heritage Bedding Series 42,Home & Living,Bedding,16.69,7.86,52.91,George Group,True
43,Classic Jackets Edition 43,Apparel,Jackets,28.2,12.85,54.42,Rodriguez LLC,True
44,Modern Activewear Series 44,Apparel,Activewear,72.17,27.77,61.52,Allen-Allen,True
45,Classic Bags Series 45,Accessories,Bags,104.14,48.57,53.36,"Arroyo, Miller and Tucker",True
46,Pro Jackets Set 46,Apparel,Jackets,64.57,23.0,64.38,Spence PLC,True
47,Premium Pants Series 47,Apparel,Pants,37.34,11.38,69.52,Anderson Group,True
48,Signature Bedding Edition 48,Home & Living,Bedding,16.26,7.07,56.51,"Martin, Rose and Obrien",True
49,Essential Scarves Bundle 49,Accessories,Scarves,67.85,32.03,52.8,Hickman Ltd,True
50,Urban Boots Kit 50,Footwear,Boots,75.83,44.7,41.05,"Harris, Collins and Carney",False
51,Classic Jackets Collection 51,Apparel,Jackets,34.18,16.5,51.74,"Brooks, Lam and Hayes",True
52,Pro Fitness Kit 52,Beauty & Wellness,Fitness,63.61,16.7,73.74,Walker LLC,True
53,Urban Kitchen Kit 53,Home & Living,Kitchen,81.22,49.88,38.59,Chapman and Sons,False
54,Classic Kitchen Pack 54,Home & Living,Kitchen,35.74,15.4,56.9,"Robinson, Jones and Welch",True
55,Urban Haircare Collection 55,Beauty & Wellness,Haircare,22.58,4.98,77.96,Jones Inc,True
56,Urban Haircare Collection 56,Beauty & Wellness,Haircare,13.25,5.32,59.83,Jones-Young,True
57,Modern Supplements Collection 57,Beauty & Wellness,Supplements,30.61,9.87,67.74,"Washington, Ryan and Cummings",False
58,Signature Jackets Series 58,Apparel,Jackets,31.75,9.21,70.99,"Johnston, Sanchez and Kennedy",True
59,Classic Sandals Pack 59,Footwear,Sandals,76.46,27.06,64.61,Lee-Davis,False
